,anio,suicidios,poblacion,suicidios_100k,idh,pib_anual_usd,pib_per_capita_usd,hdi_for_year_imputed,population,area_sq._mi.,gdp__per_capita,suicidios_wins,poblacion_wins,pib_anual_usd_wins,pib_per_capita_usd_wins,suicidios_100k_wins,suicidios_wins_log,poblacion_wins_log,pib_anual_usd_wins_log,pib_per_capita_usd_wins_log,suicidios_100k_wins_log,sexo_encoded,edad_encoded,pais_encoded
anio,1.0,0.004134210106784304,0.00794647026030489,-0.019648352348695657,0.33321593122544624,0.10387701117493042,0.33434932984735377,0.33067478530895766,-0.03732059297199558,-0.04941399561645464,-0.04548610362188233,0.006991856673737882,0.0030568535266323957,0.10336997724582189,0.33726025409145,-0.021684962946112975,-0.00807894271141772,0.004243621045976025,0.1875037862581868,0.34212565600616146,-0.02042743076003028,3.120082973716553e-17,3.2936960836303305e-16,0.020690190215597842
suicidios,0.004134210106784304,1.0,0.6125776919330095,0.315526748089095,0.11382632226929784,0.42373481717005007,0.06444205836687052,0.12801886725925268,0.5501206299637624,0.3039690736259456,0.18497503413876945,0.8813977271622638,0.5896607888419251,0.44736742359918125,0.06911582139346578,0.33204558153059166,0.48178645530583597,0.3709978732094314,0.3242991333672259,0.08414952399911041,0.3044424462815869,0.15513305843973332,0.08927253585978835,0.2273388982969246
poblacion,0.00794647026030489,0.6125776919330095,1.0,-0.006059832404857681,0.11194137236886056,0.7052168009304076,0.08212309675569564,0.12085751320464004,0.871900178998665,0.5522646668643303,0.1657021900605573,0.6785960969786936,0.9732249735851161,0.7248159517150136,0.0890841418179452,-0.0014944671482334999,0.533715647438803,0.6389121526042021,0.5414111667687198,0.12314905080754633,0.06124277377192932,-0.011651807614131966,-0.0668256285555882,0.06314495597134342
suicidios_100k,-0.019648352348695657,0.315526748089095,-0.006059832404857681,1.0,0.07458495142102409,0.022019045508541658,0.000393532805635572,0.08284638622096467,-0.03949547979830856,-0.028642705295691545,0.05591237859431742,0.34992843906481835,-0.007885968070907958,0.03222105557066732,0.0015434876288809595,0.9854712411979086,0.47183799479405747,0.006995679565664288,0.07759868141343537,0.028228606601346747,0.7897149490938644,0.3975432418134178,0.3814753698195079,0.4526911708125974
idh,0.33321593122544624,0.11382632226929784,0.11194137236886056,0.07458495142102409,1.0,0.3188899087210545,0.7723154972255885,0.998116524391954,0.08965120117677464,0.15169878797727612,0.7753992908335792,0.14483690942668367,0.10314992027513914,0.37014700965884156,0.7887556220154136,0.08219576182730454,0.18863198151051785,0.1399854482894125,0.5965893915554358,0.896853128500362,0.14423235793952519,-0.005084940506161357,-0.00520100631167109,0.24149323399291636
pib_anual_usd,0.10387701117493042,0.42373481717005007,0.7052168009304076,0.022019045508541658,0.3188899087210545,1.0,0.3132567876940688,0.31912082215270726,0.788220912187733,0.4874503705175279,0.35243776201971616,0.514723542942828,0.6660830627009963,0.9392577956037498,0.32671497140736466,0.023967851088420308,0.36607096416762547,0.40856890279083935,0.5037829043084123,0.31562383569971214,0.06942665783563788,1.149791447088685e-16,3.864027529541548e-16,0.06065725882600553
pib_per_capita_usd,0.33434932984735377,0.06444205836687052,0.08212309675569564,0.000393532805635572,0.7723154972255885,0.3132567876940688,1.0,0.7681981451234449,0.08616741850718304,0.09207335563986284,0.8001345220618525,0.09013283172802768,0.0701885276279183,0.3504365618050456,0.9957379823427113,0.0030280582091722257,0.06710640033463317,0.03951138322504185,0.49043599300621665,0.8327980231121311,0.05967872162494103,-1.1167302819515125e-16,6.25888377206017e-16,0.0577897457499617
hdi_for_year_imputed,0.33067478530895766,0.12801886725925268,0.12085751320464004,0.08284638622096467,0.998116524391954,0.31912082215270726,0.7681981451234449,1.0,0.0859092179997657,0.14870875201608258,0.7761418720897852,0.16000590355075034,0.11333128079833107,0.3714775786444337,0.7846476630520008,0.08991483308377292,0.20160828302513215,0.15154222983334228,0.6076389249087067,0.898549626642673,0.15111664159500746,-0.0050742291678574055,-0.005190118710640629,0.25779445295511083
population,-0.03732059297199558,0.5501206299637624,0.871900178998665,-0.03949547979830856,0.08965120117677464,0.788220912187733,0.08616741850718304,0.0859092179997657,1.0,0.6472745166263456,0.16917451525994862,0.5813422250715083,0.8836841956992058,0.8159542432441876,0.09391422447657909,-0.037554096906990235,0.4747106257622579,0.6137018045592202,0.5737888417517664,0.1247488981157997,0.009627605595317782,-3.5494354661161626e-16,1.9555371434367528e-16,-0.08011440298677971
area_sq._mi.,-0.04941399561645464,0.3039690736259456,0.5522646668643303,-0.028642705295691545,0.15169878797727612,0.4874503705175279,0.09207335563986284,0.14870875201608258,0.6472745166263456,1.0,0.1836089614752429,0.31938570071456485,0.5486610377075569,0.4732535511375253,0.09869182634103571,-0.0265364222548422,0.32002824862174806,0.39070670242593447,0.39590423481988263,0.1327025330897763,0.027849140893265317,-8.194357357404364e-17,4.153456532788681e-16,-0.05661032487659379
