Country,Region,Climate
Albania ,EASTERN EUROPE,D
Argentina ,LATIN AMER. & CARIB,A
Armenia ,C.W. OF IND. STATES,D
Australia ,OCEANIA,A
Austria ,WESTERN EUROPE,C
Azerbaijan ,C.W. OF IND. STATES,D
,,
Belarus ,C.W. OF IND. STATES,D
Belgium ,WESTERN EUROPE,C
Belize ,LATIN AMER. & CARIB,A
Brazil ,LATIN AMER. & CARIB,A
Bulgaria ,EASTERN EUROPE,D
Canada ,NORTHERN AMERICA,C
Chile ,LATIN AMER. & CARIB,A
Colombia ,LATIN AMER. & CARIB,A
Costa Rica ,LATIN AMER. & CARIB,A
Croatia ,EASTERN EUROPE,D
Cuba ,LATIN AMER. & CARIB,A
Cyprus ,NEAR EAST,B
Czech Republic ,EASTERN EUROPE,D
Denmark ,WESTERN EUROPE,C
Ecuador ,LATIN AMER. & CARIB,A
El Salvador ,LATIN AMER. & CARIB,A
Estonia ,BALTICS,D
Fiji ,OCEANIA,A
Finland ,WESTERN EUROPE,C
France ,WESTERN EUROPE,C
Georgia ,C.W. OF IND. STATES,D
Germany ,WESTERN EUROPE,C
Greece ,WESTERN EUROPE,C
Guatemala ,LATIN AMER. & CARIB,A
Guyana ,LATIN AMER. & CARIB,A
Hungary ,EASTERN EUROPE,D
Iceland ,WESTERN EUROPE,C
Ireland ,WESTERN EUROPE,C
Israel ,NEAR EAST,B
Italy ,WESTERN EUROPE,C
Jamaica ,LATIN AMER. & CARIB,A
Japan ,ASIA (EX. NEAR EAST),C
Kazakhstan ,C.W. OF IND. STATES,D
Kuwait ,NEAR EAST,B
Kyrgyzstan ,C.W. OF IND. STATES,D
Latvia ,BALTICS,D
Lithuania ,BALTICS,D
Luxembourg ,WESTERN EUROPE,C
Macau ,ASIA (EX. NEAR EAST),C
Malta ,WESTERN EUROPE,C
Mexico ,LATIN AMER. & CARIB,A
Mongolia ,ASIA (EX. NEAR EAST),C
Netherlands ,WESTERN EUROPE,C
New Zealand ,OCEANIA,A
Nicaragua ,LATIN AMER. & CARIB,A
Norway ,WESTERN EUROPE,C
Oman ,NEAR EAST,B
Panama ,LATIN AMER. & CARIB,A
Panama ,LATIN AMER. & CARIB,A
Paraguay ,LATIN AMER. & CARIB,A
Philippines ,ASIA (EX. NEAR EAST),C
Poland ,EASTERN EUROPE,D
Portugal ,WESTERN EUROPE,C
Puerto Rico ,LATIN AMER. & CARIB,A
Qatar ,NEAR EAST,B
Macau ,ASIA (EX. NEAR EAST),C
Romania ,EASTERN EUROPE,D
Serbia ,EASTERN EUROPE,D
Slovakia ,EASTERN EUROPE,D
Slovenia ,EASTERN EUROPE,D
South Africa ,SUB-SAHARAN AFRICA,A
Spain ,WESTERN EUROPE,C
Sri Lanka ,ASIA (EX. NEAR EAST),C
Suriname ,LATIN AMER. & CARIB,A
Sweden ,WESTERN EUROPE,C
Switzerland ,WESTERN EUROPE,C
Thailand ,ASIA (EX. NEAR EAST),C
Turkey ,NEAR EAST,B
Turkmenistan ,C.W. OF IND. STATES,D
Ukraine ,C.W. OF IND. STATES,D
United Arab Emirates ,NEAR EAST,B
United Kingdom ,WESTERN EUROPE,C
United States ,NORTHERN AMERICA,C
Uruguay ,LATIN AMER. & CARIB,A
Uzbekistan ,C.W. OF IND. STATES,D
